symbol,timeframe,test_period,market_condition,signal_threshold,atr_stop_mult,atr_profit_mult,position_size,leverage,total_trades,win_rate,total_return_pct,cagr,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,alpha,beta
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,1.5,3.0,0.25,1.0,45,0.13333333333333333,-0.06579415443147119,-0.7885247573650838,0.07320220680929833,-19.975992181693776,-25.604509767816243,0.6993036921668213,-0.24232038243404705,0.07123898021676327
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,1.5,3.0,0.25,2.0,45,0.13333333333333333,-0.06579415443147119,-0.7885247573650838,0.07320220680929833,-19.975992181693776,-25.604509767816243,0.6993036921668213,-0.24232038243404705,0.07123898021676327
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,1.5,4.0,0.25,1.0,45,0.13333333333333333,-0.06572916751477278,-0.7881886771963698,0.0731377352249383,-19.94609530665479,-25.549498690761027,0.7014178001810817,-0.24225539551734865,0.07150679021717665
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,1.5,4.0,0.25,2.0,45,0.13333333333333333,-0.06572916751477278,-0.7881886771963698,0.0731377352249383,-19.94609530665479,-25.549498690761027,0.7014178001810817,-0.24225539551734865,0.07150679021717665
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.0,3.0,0.25,1.0,45,0.13333333333333333,-0.06669151181756788,-0.7931136318807621,0.07409244834341298,-19.67486583924606,-24.790343428991243,0.6791693917109632,-0.24321773982014375,0.07254781993494702
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.0,3.0,0.25,2.0,45,0.13333333333333333,-0.06669151181756788,-0.7931136318807621,0.07409244834341298,-19.67486583924606,-24.790343428991243,0.6791693917109632,-0.24321773982014375,0.07254781993494702
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.0,4.0,0.25,1.0,45,0.13333333333333333,-0.06662658732446726,-0.7927848444320023,0.07402803868764476,-19.645874362145307,-24.73909789970926,0.6812220672407714,-0.24315281532704314,0.07281562993535798
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.0,4.0,0.25,2.0,45,0.13333333333333333,-0.06662658732446726,-0.7927848444320023,0.07402803868764476,-19.645874362145307,-24.73909789970926,0.6812220672407714,-0.24315281532704314,0.07281562993535798
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.5,3.0,0.25,1.0,45,0.13333333333333333,-0.06704677690744193,-0.7949039334847928,0.07444489625717306,-19.545245023890597,-24.46074350620746,0.6715245660934097,-0.2435730049100178,0.07306599147653892
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.5,3.0,0.25,2.0,45,0.13333333333333333,-0.06704677690744193,-0.7949039334847928,0.07444489625717306,-19.545245023890597,-24.46074350620746,0.6715245660934097,-0.2435730049100178,0.07306599147653892
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.5,4.0,0.25,1.0,45,0.13333333333333333,-0.06698187712793424,-0.7945779912147776,0.07438051111902423,-19.51663281274862,-24.41096846266354,0.6735538953671016,-0.2435081051305101,0.07333380147694972
BTC/USD,1h,Recent_3_Weeks,High Volatility,60,2.5,4.0,0.25,2.0,45,0.13333333333333333,-0.06698187712793424,-0.7945779912147776,0.07438051111902423,-19.51663281274862,-24.41096846266354,0.6735538953671016,-0.2435081051305101,0.07333380147694972
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,1.5,3.0,0.25,1.0,12,0.08333333333333333,-0.01958469001820631,-0.3633388709468671,0.020809849036524976,-12.959860107597866,-14.289647017088253,0.4659623412082938,-0.19611091802078218,0.03321935916800442
BTC/USD,1h,Recent_3_Weeks,High Volatility,75,1.5,3.0,0.25,2.0,12,0.08333333333333333,-0.01958469001820631,-0.3633388709468671,0.020809849036524976,-12.959860107597866,-14.289647017088253,0.4659623412082938,-0.19611091802078218,0.03321935916800442
